url,title,published,author,categories,audio_links
https://eo.globalvoices.org/2015/01/2013/,Malajzio lanĉis novan markemblemon kiel la prezidanto de ASOAN 2015,2015-01-04T03:00:24+01:00,Adamo,"Angla,Civitanaj komunikiloj,Esperanto,Internaciaj rilatoj,Malajzio,Orienta Azio,Politiko,Resumo",
https://eo.globalvoices.org/2015/01/2023/,Okcidenta Papuo: Dokumenti la luktojn de papuanoj en Indonezio,2015-01-16T04:25:37+01:00,Adamo,"Angla,Civitanaj komunikiloj,Esperanto,Indiĝenoj,Indonezio,Orienta Azio,Politiko,Protesto,Resumo",
https://eo.globalvoices.org/2015/02/2039/,Sud-Afriko: Patrino de du filinoj kantas por konsoli sin kaj aliajn,2015-02-08T07:03:23+01:00,ARASE Sayuki,"Arto kaj kulturo,Blogo,Civitanaj komunikiloj,Subsahara Afriko,Sud-Afriko,Virinoj kaj genro,Ĉefaĵo",
https://eo.globalvoices.org/2015/03/2049/,“Malami ne estas ago de homoj”: Rete vivas vortoj de murdita japana ĵurnalisto Kenji Goto,2015-03-18T13:55:57+01:00,ARASE Sayuki,"Blogo,Civitanaj komunikiloj,Irako,Japana,Japanio,Komunikiloj kaj ĵurnalismo,Mezoriento kaj Nordafriko,Milito kaj konflikto,Orienta Azio,Sirio,Ĉefaĵo",
https://eo.globalvoices.org/2015/04/2072/,"Tanzanio: Lerneja instruado ne en la angla, sed en la svahila",2015-04-29T05:05:34+02:00,ARASE Sayuki,"Angla,Blogo,Civitanaj komunikiloj,Edukado,Lingvo,Subsahara Afriko,Svahila,Tanzanio,Ĉefaĵo",
https://eo.globalvoices.org/2015/04/2090/,Mapo de koncesiitaj teroj en Kamboĝo,2015-04-29T14:32:04+02:00,Adamo,"Homaj rajtoj,Kamboĝo,Orienta Azio,Politiko,Regado,Resumo",
https://eo.globalvoices.org/2015/05/2100/,UN: Junuloj volas partopreni en la konstruado de paco,2015-05-09T16:23:58+02:00,Vastalto,"Angla,Civitanaj komunikiloj,Esperanto,Franca,Junuloj,LINGVOJ,Lingvo,Milito kaj konflikto,Portugala,Rusa,Unuiĝitaj Nacioj (UN),Ĉina",
https://eo.globalvoices.org/2015/06/2109/,"La mapoj montras, kie kamboĝaj ĵurnalistoj estis mortigitaj kaj turmentataj",2015-06-06T16:58:03+02:00,Adamo,"Civitanaj komunikiloj,Homaj rajtoj,Kamboĝo,Komunikiloj kaj ĵurnalismo,Orienta Azio,Parollibereco,Politiko,Protesto,Regado,Resumo",
https://eo.globalvoices.org/2015/06/2119/,Birmo: Memfoto-kampanjo disvastigas interreligian toleremon kaj etnan diversecon,2015-06-27T03:11:55+02:00,ARASE Sayuki,"Angla,Birma,Blogo,Civitanaj komunikiloj,Homaj rajtoj,Junuloj,Mjanmao (Birmo),Orienta Azio,Politiko,Protesto,Religio,Ĉefaĵo",
https://eo.globalvoices.org/2015/07/12645/,La perua edukministerio oficialigas 24 indiĝenajn alfabetojn,2015-07-25T18:01:32+02:00,Herman Dekeŭnink,"Civitanaj komunikiloj,Edukado,Indiĝenoj,Latinameriko,Lingvo,Peruo,Resumo,Ĉefaĵo",
https://eo.globalvoices.org/2015/08/2134/,Tajlando: Konservi historiajn filmojn,2015-08-17T05:06:22+02:00,Adamo,"Arto kaj kulturo,Civitanaj komunikiloj,Historio,Orienta Azio,Resumo,Tajlando",
https://eo.globalvoices.org/2015/09/2147/,Ni ne permesos al vi militi: Leĝpropono pri nacia sekureco kaŭzis manifestaciojn landskale en Japanio,2015-09-10T16:15:39+02:00,ARASE Sayuki,"Civitanaj komunikiloj,Interreta aktivismo,Japana,Japanio,Juro,Milito kaj konflikto,Orienta Azio,Regado,Ĉefaĵo",
https://eo.globalvoices.org/2015/10/2173/,Ĉu finiĝis la “Paca konstitucio” de Japanio?,2015-10-06T16:38:46+02:00,ARASE Sayuki,"Civitanaj komunikiloj,Internaciaj rilatoj,Japana,Japanio,Juro,Milito kaj konflikto,Orienta Azio,Politiko,Protesto,Regado,Ĉefaĵo",
https://eo.globalvoices.org/2015/11/2187/,Tanzanianoj rememoras la patron de la nacio Mwalimu Nyerere,2015-11-09T06:49:11+01:00,ARASE Sayuki,"Angla,Blogo,Civitanaj komunikiloj,Elektado,Historio,Politiko,Subsahara Afriko,Svahila,Tanzanio,Ĉefaĵo",
https://eo.globalvoices.org/2015/11/2197/,Latinameriko: Ne ĉiuj fabeloj bezonas princinojn,2015-11-12T02:56:49+01:00,Carlos Alvarez,"Arto kaj kulturo,Esperanto,LINGVOJ",
https://eo.globalvoices.org/2015/12/2246/,Mozambiko: La ĉefo de RENAMO eskapis senvunde el atako al sia sekvantaro,2015-12-17T13:21:56+01:00,Jairo Augusto dos Santos,"Civitanaj komunikiloj,Milito kaj konflikto,Mozambiko,Politiko,Portugala,Resumo",
